               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046397,             0.07509,            0.023047,             0.70469,             0.60348,             0.70577,             0.46911,            0.039259,            0.040678,           0.0091094,              0.0811,              0.0021,              0.0021
                   1,            0.045298,            0.068493,            0.020213,              0.7337,             0.66442,               0.732,             0.48813,            0.039408,            0.039946,           0.0075388,            0.061257,           0.0042574,           0.0042574
                   2,            0.046905,             0.06397,             0.01777,             0.70036,             0.64766,             0.72633,             0.41704,            0.044103,            0.039298,           0.0072678,            0.041371,           0.0063713,           0.0063713
                   3,            0.048334,            0.064045,            0.018844,              0.6112,             0.68072,             0.69504,             0.38611,            0.048214,            0.039455,           0.0067994,            0.021442,           0.0084416,           0.0084416
                   4,            0.052546,            0.055337,            0.017126,             0.60304,             0.57315,             0.60903,             0.33557,            0.051253,            0.041151,           0.0091796,            0.009604,            0.009604,            0.009604
                   5,            0.051454,            0.060853,            0.016366,             0.61352,             0.66488,             0.67736,             0.39565,            0.049354,            0.038534,           0.0066989,            0.009604,            0.009604,            0.009604
                   6,            0.050091,            0.062251,            0.015376,             0.69063,             0.65292,             0.70911,             0.39825,            0.046245,            0.038388,           0.0071062,            0.009505,            0.009505,            0.009505
                   7,            0.048339,            0.064237,            0.016136,             0.68732,             0.71791,             0.74722,             0.46999,             0.04607,            0.035458,           0.0055231,            0.009406,            0.009406,            0.009406
                   8,            0.047252,            0.059703,            0.014992,             0.74974,             0.71713,              0.7904,             0.50247,            0.042749,            0.035301,           0.0052729,            0.009307,            0.009307,            0.009307
                   9,            0.047725,             0.06052,            0.014524,             0.74406,             0.73805,             0.79183,             0.49436,            0.041616,             0.03497,           0.0052224,            0.009208,            0.009208,            0.009208
                  10,            0.045835,             0.06238,            0.015364,             0.74617,             0.70261,             0.77182,              0.4679,            0.041791,            0.035508,           0.0056154,            0.009109,            0.009109,            0.009109
                  11,            0.045715,            0.053121,            0.014841,             0.72973,             0.76012,             0.79394,             0.46636,            0.042184,            0.035181,           0.0051567,             0.00901,             0.00901,             0.00901
                  12,            0.044434,            0.057189,            0.013371,             0.78903,             0.71041,             0.79864,             0.47942,            0.042976,            0.034711,            0.005256,            0.008911,            0.008911,            0.008911
                  13,            0.044685,            0.054001,            0.013456,             0.76608,             0.75261,             0.81314,             0.51168,            0.041381,            0.034142,            0.004878,            0.008812,            0.008812,            0.008812
                  14,            0.044635,            0.052197,            0.014434,              0.7997,             0.73054,              0.8119,             0.50306,            0.041785,            0.033594,           0.0046451,            0.008713,            0.008713,            0.008713
                  15,            0.044904,            0.051827,            0.012984,             0.77459,             0.74526,             0.80749,             0.48863,            0.043688,            0.033734,            0.004398,            0.008614,            0.008614,            0.008614
                  16,            0.045833,            0.060213,            0.012048,             0.81103,             0.76114,             0.83311,             0.50412,            0.043029,            0.034092,           0.0042755,            0.008515,            0.008515,            0.008515
                  17,            0.044621,            0.054915,            0.011953,              0.7989,             0.78544,             0.84251,              0.5128,            0.042013,            0.033683,            0.004129,            0.008416,            0.008416,            0.008416
                  18,            0.043016,            0.050358,             0.01221,             0.78725,             0.81167,              0.8505,             0.53833,            0.040792,             0.03373,           0.0042026,            0.008317,            0.008317,            0.008317
                  19,            0.044388,            0.053166,            0.011606,             0.86557,             0.74973,             0.85674,             0.54935,            0.039778,            0.033254,           0.0041264,            0.008218,            0.008218,            0.008218
                  20,            0.045452,            0.059998,            0.011544,             0.84164,             0.79855,             0.85943,             0.56406,            0.038707,            0.033145,           0.0039219,            0.008119,            0.008119,            0.008119
                  21,            0.044338,            0.053749,            0.012381,             0.81021,             0.78353,             0.85241,             0.53806,            0.039235,            0.033492,           0.0039965,             0.00802,             0.00802,             0.00802
                  22,            0.044461,            0.055853,            0.013279,             0.82338,             0.75872,             0.84919,             0.53444,            0.039726,            0.033142,           0.0038212,            0.007921,            0.007921,            0.007921
                  23,            0.043798,            0.058093,            0.010146,             0.80561,             0.79674,             0.85944,             0.53631,            0.039705,            0.032791,           0.0036704,            0.007822,            0.007822,            0.007822
                  24,            0.044136,            0.049644,            0.012544,             0.81528,             0.80526,             0.86682,             0.55426,            0.038688,            0.032257,           0.0035922,            0.007723,            0.007723,            0.007723
                  25,            0.044246,             0.04655,           0.0098494,              0.7843,             0.80528,             0.83893,             0.52123,             0.04076,            0.032618,             0.00373,            0.007624,            0.007624,            0.007624
                  26,            0.041884,            0.052431,            0.010483,              0.7928,             0.81963,             0.85806,             0.51471,            0.039288,            0.032492,           0.0035891,            0.007525,            0.007525,            0.007525
                  27,            0.040491,            0.043908,            0.011323,             0.81464,             0.81116,             0.85997,             0.52859,            0.038898,            0.031965,           0.0035542,            0.007426,            0.007426,            0.007426
                  28,            0.041036,            0.044297,            0.011765,             0.82244,             0.80623,             0.86335,             0.56521,            0.037332,            0.031719,            0.003416,            0.007327,            0.007327,            0.007327
                  29,            0.041734,            0.055182,           0.0096998,             0.82072,             0.79454,             0.86049,             0.53633,            0.039219,            0.032049,           0.0033574,            0.007228,            0.007228,            0.007228
                  30,            0.043709,             0.05191,            0.010182,              0.8449,             0.81247,             0.87564,             0.55723,            0.037327,             0.03137,           0.0034019,            0.007129,            0.007129,            0.007129
                  31,            0.041448,            0.049654,            0.010293,             0.84854,             0.81463,             0.87852,             0.55507,              0.0373,            0.030767,           0.0032931,             0.00703,             0.00703,             0.00703
                  32,              0.0409,            0.045135,           0.0098669,             0.83264,             0.82574,             0.87823,             0.56857,            0.038136,            0.030093,           0.0033012,            0.006931,            0.006931,            0.006931
                  33,            0.039915,             0.04671,           0.0097323,             0.84673,              0.8137,              0.8803,               0.572,            0.037714,            0.030375,           0.0033084,            0.006832,            0.006832,            0.006832
                  34,            0.039813,            0.048981,           0.0085211,             0.86572,             0.80701,             0.87593,             0.56117,            0.038149,            0.030008,           0.0032088,            0.006733,            0.006733,            0.006733
                  35,            0.042184,            0.048376,           0.0087259,             0.85157,             0.81046,             0.87373,             0.56044,            0.039256,            0.029426,           0.0031473,            0.006634,            0.006634,            0.006634
                  36,            0.039586,            0.047951,            0.010542,             0.86994,             0.80734,             0.87789,             0.57941,            0.036368,            0.029157,           0.0030896,            0.006535,            0.006535,            0.006535
                  37,            0.038831,            0.048705,           0.0095733,             0.86374,             0.80664,             0.89115,             0.58542,            0.035462,            0.029241,            0.003132,            0.006436,            0.006436,            0.006436
                  38,            0.039023,            0.049626,            0.011239,              0.8747,              0.8308,             0.89889,             0.58311,            0.036084,            0.029029,           0.0030726,            0.006337,            0.006337,            0.006337
