               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1081,            0.056448,             0.03297,          0.00067043,            0.046529,            0.000538,          0.00012881,            0.098627,            0.087379,            0.026502,            0.070246,            0.003306,            0.003306
                   1,            0.093852,            0.051749,            0.021122,             0.74067,            0.099107,            0.049938,            0.012361,            0.084394,            0.095924,            0.017461,             0.04018,           0.0065736,           0.0065736
                   2,            0.079588,            0.045092,             0.01317,             0.15318,              0.1889,             0.10818,            0.035354,            0.076756,            0.085681,            0.014363,            0.010048,           0.0097752,           0.0097752
                   3,            0.068795,            0.042603,           0.0097328,             0.25474,             0.25022,             0.19342,            0.067004,            0.067243,            0.066431,           0.0095071,            0.009703,            0.009703,            0.009703
                   4,            0.062249,            0.040392,            0.008498,             0.71022,             0.35626,             0.37883,             0.16507,            0.055743,            0.058041,           0.0076072,            0.009703,            0.009703,            0.009703
                   5,            0.058425,            0.038911,           0.0079202,             0.74665,             0.32594,             0.37024,             0.16582,            0.055634,            0.058512,           0.0076534,            0.009604,            0.009604,            0.009604
                   6,            0.056031,            0.037432,           0.0075391,             0.65903,             0.40139,             0.44185,             0.19698,            0.052324,            0.056419,           0.0066773,            0.009505,            0.009505,            0.009505
                   7,            0.054219,            0.036448,           0.0069631,             0.50513,             0.49328,              0.4938,             0.23108,            0.050112,            0.052534,           0.0060006,            0.009406,            0.009406,            0.009406
                   8,            0.052426,            0.036024,           0.0065936,             0.48608,             0.50356,             0.46612,             0.20663,            0.052583,            0.056179,           0.0061284,            0.009307,            0.009307,            0.009307
                   9,            0.051457,            0.035098,           0.0059991,             0.56543,             0.51898,             0.53675,             0.25439,            0.048802,            0.051688,           0.0054454,            0.009208,            0.009208,            0.009208
                  10,            0.050304,             0.03458,           0.0054709,             0.64375,              0.5271,             0.56801,             0.26124,            0.049323,            0.051445,           0.0059562,            0.009109,            0.009109,            0.009109
                  11,            0.049676,            0.034692,           0.0052435,             0.69318,             0.54854,             0.61606,             0.29405,            0.046521,            0.050327,           0.0044777,             0.00901,             0.00901,             0.00901
                  12,            0.048688,            0.033641,            0.004844,             0.71823,             0.58097,             0.64354,             0.31265,            0.045677,            0.048812,           0.0039239,            0.008911,            0.008911,            0.008911
                  13,            0.048156,            0.033779,           0.0045664,             0.77004,             0.56046,             0.66169,             0.33364,            0.044334,            0.048048,            0.003908,            0.008812,            0.008812,            0.008812
                  14,            0.047176,            0.032784,           0.0043291,             0.71397,             0.57958,             0.64602,             0.32315,            0.044313,            0.048197,           0.0040672,            0.008713,            0.008713,            0.008713
                  15,            0.046784,            0.032545,           0.0040688,             0.73837,             0.62716,             0.69645,             0.36106,            0.042737,            0.046536,           0.0033211,            0.008614,            0.008614,            0.008614
                  16,            0.046122,            0.032186,           0.0038885,             0.74448,             0.62604,             0.69989,             0.36285,            0.042612,            0.046329,           0.0033129,            0.008515,            0.008515,            0.008515
                  17,            0.045539,            0.031654,           0.0037015,             0.76028,             0.61189,             0.68658,             0.34861,            0.043302,            0.046891,           0.0030691,            0.008416,            0.008416,            0.008416
